AMZN,date,closing,avg
AMZN,Tue Sep 22 00:00:00 CEST 2015,113.400002,355.2814992935153
AMZN,Mon Dec 14 00:00:00 CET 2015,657.909973,356.3108478435374
AMZN,Mon Sep 21 00:00:00 CEST 2015,115.209999,355.4935568305084
AMZN,Fri Dec 11 00:00:00 CET 2015,640.150024,356.4552340844594
AMZN,Fri Sep 18 00:00:00 CEST 2015,113.449997,355.6370346329966
AMZN,Thu Dec 10 00:00:00 CET 2015,662.320007,356.66617212416105
AMZN,Thu Sep 17 00:00:00 CEST 2015,113.919998,355.8543120100334
AMZN,Wed Dec 09 00:00:00 CET 2015,664.789978,356.8840975633333
AMZN,Wed Sep 16 00:00:00 CEST 2015,116.410004,356.08518030897005
AMZN,Tue Dec 08 00:00:00 CET 2015,677.330017,357.1489049337748
AMZN,Tue Sep 15 00:00:00 CEST 2015,116.279999,356.35395804950497
AMZN,Mon Dec 07 00:00:00 CET 2015,669.830017,357.38512929605264
AMZN,Mon Sep 14 00:00:00 CEST 2015,115.309998,356.5914403409836
AMZN,Fri Dec 04 00:00:00 CET 2015,672.640015,357.6242788202614
AMZN,Fri Sep 11 00:00:00 CEST 2015,114.209999,356.8313984299674
AMZN,Thu Dec 03 00:00:00 CET 2015,666.25,357.83600427922073
AMZN,Thu Sep 10 00:00:00 CEST 2015,112.57,357.04226316504855
AMZN,Wed Dec 02 00:00:00 CET 2015,676.01001,358.07119138064513
AMZN,Wed Sep 09 00:00:00 CEST 2015,110.150002,357.2740171382636
AMZN,Wed Apr 06 00:00:00 CEST 2016,113.709999,356.4933632339743
AMZN,Tue Dec 01 00:00:00 CET 2015,679.059998,357.5239275623003
AMZN,Tue Sep 08 00:00:00 CEST 2015,112.309998,356.74299148089165
AMZN,Tue Apr 05 00:00:00 CEST 2016,112.220001,355.96672801904754
AMZN,Mon Nov 30 00:00:00 CET 2015,664.799988,356.94404846202525
AMZN,Fri Sep 04 00:00:00 CEST 2015,109.269997,356.1627423059936
AMZN,Mon Apr 04 00:00:00 CEST 2016,112.550003,355.3966645094339
AMZN,Fri Nov 27 00:00:00 CET 2015,673.26001,356.3931013291535
AMZN,Thu Sep 03 00:00:00 CEST 2015,110.370003,355.6242791468749
AMZN,Fri Apr 01 00:00:00 CEST 2016,116.059998,354.8779729750778
AMZN,Wed Nov 25 00:00:00 CET 2015,675.340027,355.8731967453415
AMZN,Wed Sep 02 00:00:00 CEST 2015,112.339996,355.119223987616
AMZN,Thu Mar 31 00:00:00 CEST 2016,114.099998,354.37533748765424
AMZN,Tue Nov 24 00:00:00 CET 2015,671.150024,355.35002883076913
AMZN,Tue Sep 01 00:00:00 CEST 2015,107.720001,354.5904275184048
AMZN,Wed Mar 30 00:00:00 CEST 2016,114.699997,353.8568176391436
AMZN,Mon Nov 23 00:00:00 CET 2015,678.98999,354.8480773109755
AMZN,Mon Aug 31 00:00:00 CEST 2015,112.760002,354.11224729483274
AMZN,Tue Mar 29 00:00:00 CEST 2016,116.139999,353.3911192696969
AMZN,Fri Nov 20 00:00:00 CET 2015,668.450012,354.34295882477335
AMZN,Fri Aug 28 00:00:00 CEST 2015,113.290001,353.6168956987951
AMZN,Mon Mar 28 00:00:00 CEST 2016,113.690002,352.89639451651647
AMZN,Thu Nov 19 00:00:00 CET 2015,661.27002,353.8196688443113
AMZN,Thu Aug 27 00:00:00 CEST 2015,112.919998,353.10056534925366
AMZN,Thu Mar 24 00:00:00 CET 2016,113.050003,352.3861291517856
AMZN,Wed Nov 18 00:00:00 CET 2015,663.539978,353.3094343412462
AMZN,Wed Aug 26 00:00:00 CEST 2015,109.690002,352.58866678994076
AMZN,Wed Mar 23 00:00:00 CET 2016,112.540001,351.88055863126834
AMZN,Tue Nov 17 00:00:00 CET 2015,643.299988,352.73767459999993
AMZN,Tue Aug 25 00:00:00 CEST 2015,103.739998,352.0074761348973
AMZN,Tue Mar 22 00:00:00 CET 2016,112.25,351.3064308830409
AMZN,Mon Nov 16 00:00:00 CET 2015,647.809998,352.17087276967925
AMZN,Mon Aug 24 00:00:00 CEST 2015,103.120003,351.4468876831395
AMZN,Mon Mar 21 00:00:00 CET 2016,111.849998,350.7524039449275
AMZN,Fri Nov 13 00:00:00 CET 2015,642.349976,351.5951714942196
AMZN,Fri Aug 21 00:00:00 CEST 2015,105.760002,350.8867127925071
AMZN,Fri Mar 18 00:00:00 CET 2016,111.449997,350.1986762528735
