AAPL,date,closing,avg
AAPL,Fri Sep 04 00:00:00 CEST 2015,600.700012,705.5911626849318
GOOG,Thu Sep 03 00:00:00 CEST 2015,606.25,704.9153724625852
AAPL,Thu Sep 03 00:00:00 CEST 2015,606.25,704.9153724625852
GOOG,Wed Sep 02 00:00:00 CEST 2015,614.340027,704.3033768851353
AAPL,Wed Sep 02 00:00:00 CEST 2015,614.340027,704.3033768851353
GOOG,Tue Sep 01 00:00:00 CEST 2015,597.789978,703.5885218590606
AAPL,Tue Sep 01 00:00:00 CEST 2015,597.789978,703.5885218590606
GOOG,Mon Aug 31 00:00:00 CEST 2015,618.25,703.0195983800002
AAPL,Mon Aug 31 00:00:00 CEST 2015,618.25,703.0195983800002
GOOG,Fri Aug 28 00:00:00 CEST 2015,630.380005,702.5385414701989
AAPL,Fri Aug 28 00:00:00 CEST 2015,630.380005,702.5385414701989
GOOG,Thu Aug 27 00:00:00 CEST 2015,637.609985,702.1113799144739
AAPL,Thu Aug 27 00:00:00 CEST 2015,637.609985,702.1113799144739
GOOG,Wed Aug 26 00:00:00 CEST 2015,628.619995,701.6310440653597
AAPL,Wed Aug 26 00:00:00 CEST 2015,628.619995,701.6310440653597
GOOG,Tue Aug 25 00:00:00 CEST 2015,582.059998,700.8546087012988
AAPL,Tue Aug 25 00:00:00 CEST 2015,582.059998,700.8546087012988
GOOG,Mon Aug 24 00:00:00 CEST 2015,589.609985,700.1369014516131
AAPL,Mon Aug 24 00:00:00 CEST 2015,589.609985,700.1369014516131
GOOG,Fri Aug 21 00:00:00 CEST 2015,612.47998,699.5749981089746
AAPL,Fri Aug 21 00:00:00 CEST 2015,612.47998,699.5749981089746
GOOG,Thu Aug 20 00:00:00 CEST 2015,646.830017,699.2390428152869
AAPL,Thu Aug 20 00:00:00 CEST 2015,646.830017,699.2390428152869
GOOG,Wed Aug 19 00:00:00 CEST 2015,660.900024,698.9963907974686
AAPL,Wed Aug 19 00:00:00 CEST 2015,660.900024,698.9963907974686
GOOG,Tue Aug 18 00:00:00 CEST 2015,656.130005,698.7267908867927
AAPL,Tue Aug 18 00:00:00 CEST 2015,656.130005,698.7267908867927
GOOG,Mon Aug 17 00:00:00 CEST 2015,660.869995,698.4901859125002
AAPL,Mon Aug 17 00:00:00 CEST 2015,660.869995,698.4901859125002
GOOG,Fri Aug 14 00:00:00 CEST 2015,657.119995,698.2332282049692
AAPL,Fri Aug 14 00:00:00 CEST 2015,657.119995,698.2332282049692
GOOG,Thu Aug 13 00:00:00 CEST 2015,656.450012,697.9753071172842
AAPL,Thu Aug 13 00:00:00 CEST 2015,656.450012,697.9753071172842
GOOG,Wed Aug 12 00:00:00 CEST 2015,659.559998,697.7396303742333
AAPL,Wed Aug 12 00:00:00 CEST 2015,659.559998,697.7396303742333
GOOG,Tue Aug 11 00:00:00 CEST 2015,660.780029,697.5142669512197
AAPL,Tue Aug 11 00:00:00 CEST 2015,660.780029,697.5142669512197
GOOG,Mon Aug 10 00:00:00 CEST 2015,633.72998,697.1276955151518
AAPL,Mon Aug 10 00:00:00 CEST 2015,633.72998,697.1276955151518
GOOG,Fri Aug 07 00:00:00 CEST 2015,635.299988,696.7552394457833
AAPL,Fri Aug 07 00:00:00 CEST 2015,635.299988,696.7552394457833
GOOG,Thu Aug 06 00:00:00 CEST 2015,642.679993,696.4314355748505
AAPL,Thu Aug 06 00:00:00 CEST 2015,642.679993,696.4314355748505
GOOG,Wed Aug 05 00:00:00 CEST 2015,643.780029,696.1180343452384
AAPL,Wed Aug 05 00:00:00 CEST 2015,643.780029,696.1180343452384
GOOG,Tue Aug 04 00:00:00 CEST 2015,629.25,695.7223655029588
AAPL,Tue Aug 04 00:00:00 CEST 2015,629.25,695.7223655029588
GOOG,Mon Aug 03 00:00:00 CEST 2015,631.210022,695.342881129412
AAPL,Mon Aug 03 00:00:00 CEST 2015,631.210022,695.342881129412
GOOG,Fri Jul 31 00:00:00 CEST 2015,625.609985,694.935086415205
AAPL,Fri Jul 31 00:00:00 CEST 2015,625.609985,694.935086415205
GOOG,Thu Jul 30 00:00:00 CEST 2015,632.590027,694.5726151395352
AAPL,Thu Jul 30 00:00:00 CEST 2015,632.590027,694.5726151395352
GOOG,Wed Jul 29 00:00:00 CEST 2015,631.929993,694.2105190578037
AAPL,Wed Jul 29 00:00:00 CEST 2015,631.929993,694.2105190578037
GOOG,Tue Jul 28 00:00:00 CEST 2015,628.0,693.8299988333335
AAPL,Tue Jul 28 00:00:00 CEST 2015,628.0,693.8299988333335
GOOG,Mon Jul 27 00:00:00 CEST 2015,627.26001,693.4495988971431
AAPL,Mon Jul 27 00:00:00 CEST 2015,627.26001,693.4495988971431
GOOG,Fri Jul 24 00:00:00 CEST 2015,623.559998,693.0524988920456
AAPL,Fri Jul 24 00:00:00 CEST 2015,623.559998,693.0524988920456
GOOG,Thu Jul 23 00:00:00 CEST 2015,644.280029,692.7769482146895
AAPL,Thu Jul 23 00:00:00 CEST 2015,644.280029,692.7769482146895
GOOG,Wed Jul 22 00:00:00 CEST 2015,662.099976,692.6046056741575
